iter	RMSE
0	153.8784014
1	150.8266543
2	147.8449468
3	145.0467129
4	142.2989188
5	139.7985986
6	137.4036447
7	135.0723744
8	132.8154177
9	130.5416712
10	128.3005468
11	126.1935124
12	124.1518933
13	122.1211226
14	120.3169759
15	118.4976368
16	116.8257416
17	115.1628853
18	113.4005403
19	111.8628763
20	110.1872872
21	108.6284827
22	107.227827
23	105.7682954
24	104.4498386
25	103.1749816
26	101.7891299
27	100.5794486
28	99.37843974
29	98.25613211
30	97.15899232
31	95.98354891
32	94.97386584
33	94.11050332
34	93.10048231
35	92.13772507
36	91.2001664
37	90.31892904
38	89.49038569
39	88.67116636
40	87.89826161
41	87.15783162
42	86.44189115
43	85.69097054
44	84.98153862
45	84.34211823
46	83.66058351
47	83.04913857
48	82.44875983
49	81.83824051
50	81.27268137
51	80.79432627
52	80.31457862
53	79.77795415
54	79.24270549
55	78.76893497
56	78.28558287
57	77.96149023
58	77.53687301
59	77.08221481
60	76.59873456
61	76.13767722
62	75.71417085
63	75.40532125
64	75.00563593
65	74.70721109
66	74.3747795
67	74.10959173
68	73.76427991
69	73.35548892
70	72.96969725
71	72.71885315
72	72.41336415
73	72.1405585
74	71.82160935
75	71.52743724
76	71.27036058
77	70.94051778
78	70.66425901
79	70.38225504
80	70.18055428
81	69.92355129
82	69.71308662
83	69.4399401
84	69.13147002
85	68.95382821
86	68.64268139
87	68.42320258
88	68.17369258
89	67.9845402
90	67.67976768
91	67.45872687
92	67.23864946
93	67.032601
94	66.78333402
95	66.59699984
96	66.46447154
97	66.22439413
98	65.98303666
99	65.71707324
100	65.48296115
101	65.28450905
102	65.07118334
103	64.86659433
104	64.61777338
105	64.41156808
106	64.18913339
107	63.92633824
108	63.73437911
109	63.60459948
110	63.37303944
111	63.18807893
112	62.97714554
113	62.78342269
114	62.61080442
115	62.44153176
116	62.31640165
117	62.15331902
118	62.02474243
119	61.81511293
120	61.58091568
121	61.39603083
122	61.27825759
123	61.12965196
124	60.94660009
125	60.7554696
126	60.55990944
127	60.37559646
128	60.27031882
129	60.14704157
130	59.99944949
131	59.82009105
132	59.68527514
133	59.52559193
134	59.39801699
135	59.27845705
136	59.08173427
137	58.95528737
138	58.81672649
139	58.6346078
140	58.44238196
141	58.34978955
142	58.182422
143	58.07963157
144	57.97965398
145	57.87476531
146	57.6922047
147	57.55901806
148	57.42881994
149	57.30125909
150	57.15836162
151	57.0021421
152	56.85538851
153	56.68857676
154	56.58771174
155	56.44810028
156	56.32772691
157	56.17396902
158	56.05046708
159	55.92631809
160	55.81093722
161	55.69727739
162	55.54312968
163	55.35949811
164	55.26246113
165	55.12501362
