iter	RMSE
0	140.9581628
1	138.4087669
2	135.9502866
3	133.5887416
4	131.3513556
5	129.1923502
6	127.1270787
7	125.0941495
8	123.1874249
9	121.5972935
10	119.8426879
11	118.1363396
12	116.4783722
13	115.1245941
14	113.5681269
15	112.1306032
16	110.9470677
17	109.6327611
18	108.3316987
19	107.2811815
20	106.1267512
21	105.0243404
22	104.07735
23	103.0574287
24	102.0140406
25	101.0682807
26	100.2468968
27	99.37225851
28	98.68650067
29	97.98107306
30	97.33592732
31	96.72188938
32	96.0923431
33	95.39695742
34	94.73957773
35	94.08930333
36	93.57819839
37	93.05663408
38	92.56077545
39	92.05105714
40	91.61176306
41	91.19530848
42	90.67204097
43	90.15011686
44	89.75308267
45	89.39943581
46	88.92530208
47	88.507027
48	88.19541302
49	87.79151627
50	87.47313985
51	87.10214664
52	86.73065577
53	86.44944083
54	86.10371525
55	85.79300543
56	85.42431241
57	85.13451849
58	84.86221696
59	84.58431878
60	84.32844211
61	84.08298242
62	83.79703711
63	83.52670988
64	83.32120833
65	83.07536925
66	82.80132749
67	82.58700722
68	82.32473831
69	82.08217389
70	81.87955377
71	81.6295685
72	81.40979792
73	81.21821148
74	81.01438971
75	80.80214379
76	80.60099094
77	80.40452423
78	80.19287961
79	79.97008924
80	79.78506743
81	79.64425537
82	79.48843854
83	79.26004795
84	78.95071913
85	78.76671108
86	78.55203546
87	78.34096969
88	78.14852271
89	78.04329475
90	77.87977278
91	77.66573124
92	77.53367846
93	77.39400118
94	77.20710857
95	77.03004556
96	76.93868005
97	76.78248892
98	76.49757855
99	76.36614775
100	76.18790678
101	76.01624022
102	75.78841162
103	75.66799057
104	75.50050222
105	75.34787342
106	75.13905473
107	75.03249835
108	74.93436835
109	74.77440766
110	74.63169704
111	74.39495959
112	74.15277672
113	73.99696475
114	73.84523585
115	73.75405592
116	73.6170794
117	73.52636476
118	73.44704766
119	73.31570144
120	73.16994293
121	73.08786157
122	72.86870287
123	72.78676048
124	72.66632301
125	72.50895345
126	72.36328698
127	72.2174765
128	72.06587437
129	71.95113838
130	71.87139523
131	71.74339055
132	71.59371418
133	71.48940801
134	71.39475501
135	71.29024398
136	71.21813764
137	71.16110243
138	71.08198529
139	70.96226545
140	70.80880452
141	70.69573494
142	70.53897658
143	70.25975708
144	69.87231556
145	69.75987809
146	69.63899927
147	69.503745
148	69.35549512
149	69.27025395
150	69.16940438
151	69.07082423
152	68.98068059
153	68.83135948
154	68.72331431
155	68.6527395
156	68.57267397
157	68.47136153
158	68.41947001
159	68.36658673
160	68.25186467
161	68.16323799
162	68.11360404
163	67.92561092
164	67.86805934
165	67.49579589
166	67.39437212
167	67.25300742
168	67.16372795
169	67.10174533
170	67.02881669
171	66.91222907
172	66.82004971
173	66.73247932
174	66.63288051
175	66.48643149
176	66.39782919
177	66.3169289
178	66.03477577
179	65.96580277
180	65.81649929
181	65.7354288
182	65.6693939
183	65.59368937
184	65.5154461
185	65.35374355
186	65.30969247
187	65.2459231
188	65.15917757
189	65.11402953
190	65.06290455
191	65.00335336
192	64.89974791
193	64.83278325
194	64.67444361
195	64.60922607
196	64.54339975
197	64.47380691
198	64.40144008
199	64.33348304
200	64.2656944
201	64.22102946
202	64.14892643
203	64.08911142
204	63.9355964
205	63.84721752
206	63.53033052
207	63.45507938
208	63.40064458
209	63.30372709
210	63.2334831
211	63.17582185
212	63.12099191
213	63.03925366
214	62.96164214
215	62.89412492
216	62.82796407
217	62.73313304
218	62.70343882
219	62.67387179
220	62.60571933
221	62.34084933
222	62.22004232
223	62.15746702
224	62.11809582
225	62.04366889
226	61.99524218
227	61.9379589
228	61.89242132
229	61.83241675
230	61.74354848
231	61.62521394
232	61.5678359
233	61.45637761
234	61.40347479
235	61.28590808
236	61.24842
237	61.19721933
238	60.92515044
239	60.85110683
240	60.78705195
241	60.70664013
242	60.65943554
243	60.6127693
244	60.55621288
245	60.52049604
246	60.30795586
247	60.10856035
248	60.06261686
249	59.99068634
250	59.92148606
251	59.86844925
252	59.83422262
253	59.78235926
254	59.72509582
255	59.67207652
256	59.59682852
257	59.50273586
258	59.45569104
259	59.38248507
260	59.3238236
261	59.27337982
262	59.21714534
263	59.14808608
264	58.86563571
265	58.59449606
266	58.51238435
267	58.36695033
268	58.32041092
269	58.25656417
270	58.20650177
271	58.15041403
272	58.06971434
273	58.01018443
274	57.96781667
275	57.92323403
276	57.79203854
277	57.69936241
278	57.62694353
279	57.55306846
280	57.51926737
281	57.46969121
282	57.26178036
283	57.21055977
284	57.1514075
285	57.12680806
286	57.05839447
287	57.00937536
288	56.96795275
289	56.91080177
290	56.85491566
291	56.82715189
292	56.77847582
293	56.71011186
294	56.6545542
295	56.5832245
296	56.50550588
297	56.46668197
298	56.25747365
299	56.19901152
300	56.1540478
301	55.88163271
302	55.83823357
303	55.7896748
304	55.73613988
305	55.69823091
306	55.65207722
307	55.60026573
308	55.54961436
309	55.4918762
310	55.43022387
311	55.38900636
312	55.33903629
313	55.30934602
314	55.2564829
315	55.20932645
316	55.15352415
317	54.9463362
318	54.82605875
319	54.73623732
320	54.62432882
321	54.56983984
322	54.52357882
323	54.47656636
324	54.43557386
325	54.38719003
326	54.31778424
327	54.26834982
328	54.19983354
329	54.16493277
330	54.13418378
331	54.11331518
332	54.07041479
333	54.00037125
334	53.95189931
335	53.90532982
336	53.85646413
337	53.80376201
338	53.72845361
339	53.65414536
340	53.62130114
341	53.57065437
342	53.51427815
343	53.44497915
344	53.41908217
345	53.37369652
346	53.31002196
347	53.24575277
348	53.19087818
349	53.13923684
350	53.07347739
351	53.02498097
352	52.81496406
353	52.77448735
354	52.71548908
355	52.66058287
356	52.62568092
357	52.58197413
358	52.51723579
359	52.49115913
360	52.44806839
361	52.40321338
362	52.35087763
363	52.3130447
364	52.26349902
365	52.21792616
366	52.17803565
367	52.12748887
368	52.10574609
369	52.06521901
370	52.01862483
371	51.99463203
372	51.9561685
373	51.91259308
374	51.8657267
375	51.82645732
376	51.75108394
377	51.70492581
378	51.65998351
379	51.43625878
380	51.39186421
381	51.34736671
382	51.32130186
383	51.28319411
384	51.24106171
385	51.19464627
386	51.1577666
387	51.11516879
388	51.04681041
389	51.0054101
390	50.94338218
391	50.83025542
392	50.78870411
393	50.74060063
394	50.68241047
395	50.64909419
396	50.5933273
397	50.55341475
398	50.53051102
399	50.49407185
400	50.44901738
401	50.41830827
402	50.37797622
403	50.34055852
404	50.28066308
405	50.23212754
406	50.20051665
407	50.16772631
408	50.11295681
409	50.05731598
410	50.01452228
411	49.97576416
412	49.93945728
413	49.90101936
414	49.84904982
415	49.81171302
416	49.75807899
417	49.73307851
418	49.6849801
419	49.64158922
420	49.61387173
421	49.38911985
422	49.35156946
423	49.24756963
424	49.20758507
425	49.16916471
426	49.13417025
427	49.10420191
428	49.06048975
429	49.03408432
430	48.97842441
431	48.77445158
432	48.73536793
433	48.70116697
434	48.67578658
435	48.61990998
436	48.58569841
437	48.55144373
438	48.51390011
439	48.41680663
440	48.36633352
441	48.31299458
442	48.28440935
443	48.19307264
444	48.15769776
445	48.11727694
446	48.07863122
447	48.04478852
448	48.02363228
449	47.98191692
450	47.94388802
451	47.90159043
452	47.74491069
453	47.70170005
454	47.67469404
455	47.63046697
456	47.58462083
457	47.39375865
458	47.35753662
459	47.31471769
460	47.16190429
461	47.02626046
462	46.99341673
463	46.94757139
464	46.89158477
465	46.85779383
466	46.81013896
467	46.77894815
468	46.73774111
469	46.70234465
470	46.67301592
471	46.62602511
472	46.53840647
473	46.51620393
474	46.4421094
475	46.40737326
476	46.38683927
477	46.3599425
478	46.31295359
479	46.25823858
480	46.22965221
481	46.18956996
482	46.15641565
483	46.12214845
484	46.09770837
485	46.07342119
486	46.0394155
487	46.01391577
488	45.98328005
489	45.89710156
490	45.86827242
491	45.83569489
492	45.80455802
493	45.78370375
494	45.74745707
495	45.72450854
496	45.68773705
497	45.50421848
498	45.47328167
499	45.42949217
500	45.29397531
501	45.26304816
502	45.23092654
503	45.20455256
504	45.16633798
505	45.08421275
506	45.05485964
507	45.02143461
508	44.94697588
509	44.92579064
510	44.89271398
511	44.84115052
512	44.81612725
513	44.78533072
514	44.76399039
515	44.62256405
516	44.59213973
517	44.561598
518	44.539568
519	44.50572917
520	44.47577868
521	44.42980835
522	44.37787495
523	44.35714402
524	44.31674494
525	44.27604046
526	44.24968307
527	44.2236262
528	44.18361984
529	44.15909421
530	44.12458114
531	44.09066429
532	44.0202124
533	43.99974865
534	43.97329999
535	43.94478634
536	43.78781333
537	43.74653736
538	43.72445744
